"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19000,Iowa,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
19000,Iowa,1,"  Real GDP (millions of chained 2017 dollars) 1",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),187125.0,189245.1,188318.4,187136.7,198470.8,197846.3
19000,Iowa,2,"  Real personal income (millions of constant (2012) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),140447.6,134062.5,133478.9,142069.7,144969.0,145253.8,147480.6,156301.1,155385.6,158138.6,157170.1,159420.7,169972.8,176780.1,(NA)
19000,Iowa,3,"  Real PCE (millions of constant (2012) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108837.1,106780.5,106735.7,110461.1,110345.6,110831.8,112384.2,117133.0,118522.7,121609.9,120029.3,120697.1,118924.9,128752.2,(NA)
19000,Iowa,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,
19000,Iowa,4,"  Gross domestic product (GDP)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),187125.0,193155.1,196085.1,199447.0,220818.2,238342.3
19000,Iowa,5,"  Personal income",73147.5,74998.7,80082.6,82519.7,84518.2,86330.6,93377.9,96080.0,101998.6,109069.0,116112.8,112963.4,116535.7,125499.8,131137.0,133435.1,137733.5,142521.2,143839.9,147911.5,154686.0,158118.5,167778.9,185621.7,192742.4
19000,Iowa,6,"  Disposable personal income",64462.9,66087.8,70803.9,73131.3,76293.3,78500.9,85274.0,87012.9,91840.0,97452.4,104110.9,103229.0,106224.6,113269.9,118077.1,119480.8,123370.0,127158.9,128254.5,132160.8,139211.0,141842.9,151353.0,166031.3,170345.5
19000,Iowa,7,"  Personal consumption expenditures",56464.4,59748.9,63279.6,65420.8,66996.9,70550.3,74931.1,78928.6,83083.9,86433.4,89779.9,89779.6,92935.6,97421.3,100180.8,102664.9,106618.9,108540.1,112218.4,116352.5,119934.4,122945.0,120916.6,135091.2,145480.9
19000,Iowa,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,,,,,,,,,,,,,,,
19000,Iowa,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46556,44203,43743,46278,47029,46822,47245,49839,49338,50002,49558,50072,53305,55364,(NA)
19000,Iowa,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36078,35208,34979,35982,35797,35726,36002,37350,37633,38452,37847,37909,37296,40322,(NA)
19000,Iowa,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
19000,Iowa,10,"  Per capita personal income 6",25198,25705,27341,28145,28804,29344,31615,32411,34197,36366,38490,37246,38190,40880,42541,43012,44123,45445,45672,46769,48775,49663,52586,58049,60222
19000,Iowa,11,"  Per capita disposable personal income 7",22207,22651,24173,24942,26001,26683,28871,29352,30791,32493,34511,34037,34811,36897,38305,38514,39522,40547,40723,41788,43895,44551,47438,51922,53224
19000,Iowa,12,"  Per capita personal consumption expenditures (PCE) 8",19451,20479,21604,22313,22833,23980,25369,26625,27856,28819,29761,29602,30456,31734,32499,33094,34155,34610,35631,36790,37817,38615,37898,42247,45455
19000,Iowa,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,
